微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
JhRYz3dWf,其实我有很多内幕消息可是我被举报了  被学校批评了所以我不可以再说了大致就是传的那样  做好心里准备做最坏打算 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 17:44,Hi聊,31,0,12
JhRL7qUpC,什么时候开学能不能给个准，效率这么低，有些广州的同学都开学了 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 17:11,Hi聊,5,0,0
JhRxyb69d,不在沉默中爆发，便在沉默中灭亡 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 16:37,Hi聊,4,0,0
JhRqOFfpy,上一条树洞好搞笑啊。简直是绝了。没见过这么搞笑的。你是什么大人物占用你的黄金时间来实习是浪费时间了？即使你要考研，但是你也得要按质按量来完成本科阶段的学业任务吧？你还是宝宝吗？离不开家?那你大学怎么不去家里附近读?集中实习都是有很多目标任务要完成的!知... http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 16:21,Hi聊,3,0,6
JhRmaxWMW,除了搬宿舍 集中实习也很迷好吗？？？？ 对于师范生来说 这黄金时期用来集中实习 现在把我们送去粤北实习 但是大多数人以后都不是驻扎粤北 这份实习的意义在哪呢？？？？ 大家都想在家附近实习 对自己来说在家附近是安全的地方 对于学生来说来一批异地老师是不安全的 疫... http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 16:09,Hi聊,4,0,3
JhRiwcaao,投诉抗议在树洞说也没有用，wb都有话题 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 16:00,Hi聊,1,0,0
JhRhU57PV,看图，点赞我联系 http://t.cn/RBaFzxp  原图 ,,http://wx3.sinaimg.cn/large/006gRmAaly1gi5feh89u3j30u01uo3zs.jpg,无,无,2020-08-27 15:59,Hi聊,4,0,4
JhRe4r6pZ,转租，价格实惠，房子很新！原价350现在300转租，详情戳图！ http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 15:49,Hi聊,0,0,2
JhRd3xXqG,有幸国考上岸 感谢努力的自己 话说树洞有蓬江的老乡吗 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 15:47,Hi聊,13,0,5
JhR9Q7PUL,其实不是大家妥协了。我觉得学校这通知发的很狡猾，有种逐个击破的感觉，很多二级学院都还没有收到通知，还抱着侥幸心理。 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 15:39,Hi聊,4,0,2
JhR7YhOs2,tiangou一无所有啊，哈哈哈。 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 15:34,Hi聊,3,0,1
JhR4IFE6P,大家反抗的心都不强烈，很多人都妥协了，这样没用的啊！应该和辅导员强烈反应抗议，至少给领导看到我们的决心啊，不能就这么被欺负啊！到现在我们学院都没有返校通知，只知道搬宿舍，真的无语... http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 15:26,Hi聊,4,0,2
JhQZ4hWq8,看了上一条，投诉真的没用嘛，话说哪里可以投诉呀?我想投诉 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 15:12,Hi聊,2,0,2
JhQYokjnz,我感觉好失望，师兄说18年的时候也是要全体搬宿舍，他们又是上热搜又是堵校长还有家长跟着一起投诉。而现在我们要搬宿舍，大多数人选择的是妥协，最多朋友圈发发牢骚，热搜也顶不起来，他妈的团结起来啊，抗议的人多了才能不搬宿舍啊叼。... http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 15:11,Hi聊,9,0,1
JhQY57ZXW,为什么学校这么喜欢搞事情？大四的学生就住一学期，还要搬宿舍，还是不用换苑，换到隔壁栋或者其他楼层的那种，学校这一天天整的都是啥事啊，无语 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 15:10,Hi聊,4,0,1
JhQSLlM5w,什么时候开学？还开不开学？ http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 14:57,Hi聊,1,0,0
JhQAPmgeF,有出西区可用的路由器么.. http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 14:13,Hi聊,0,0,1
